id,modo,categoria,nivel,tipo,quem,conteudo
CI-1-001,Grupo,Contato Íntimo,1,Desafio,Dupla,Sente no colo de [JOGADOR] de costas e fique assim por 30 segundos sem falar.
CI-1-002,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique atrás de [JOGADOR] e dê um abraço por trás com o rosto encostado no pescoço dela/dele por 20 segundos.
CI-1-003,Grupo,Contato Íntimo,1,Desafio,Dupla,Encoste completamente em [JOGADOR] de frente — peito com peito — e fique assim por 15 segundos.
CI-1-004,Grupo,Contato Íntimo,1,Desafio,Dupla,Coloque a perna por cima das pernas de [JOGADOR] enquanto ficam sentados por 1 rodada.
CI-1-005,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique de costas pra [JOGADOR] e puxe os braços dela/dele em volta de você por 20 segundos.
CI-1-006,Grupo,Contato Íntimo,1,Desafio,Dupla,Sente entre as pernas de [JOGADOR] de costas pra ela/ele e fique assim por 30 segundos.
CI-1-007,Grupo,Contato Íntimo,1,Desafio,Dupla,Coloque a cabeça no colo de [JOGADOR] de barriga pra cima e fique assim por 1 minuto.
CI-1-008,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique de frente pra [JOGADOR] com os corpos encostados e os rostos a menos de 10 cm por 20 segundos.
CI-1-009,Grupo,Contato Íntimo,1,Desafio,Dupla,Puxe [JOGADOR] pela cintura em direção a você e fique assim parados por 15 segundos.
CI-1-010,Grupo,Contato Íntimo,1,Desafio,Dupla,Encoste a testa no pescoço de [JOGADOR] e respire fundo por 15 segundos.
CI-1-011,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique sentado/a com as pernas entrelaçadas com as de [JOGADOR] por 1 rodada.
CI-1-012,Grupo,Contato Íntimo,1,Desafio,Dupla,Coloque os pés no colo de [JOGADOR] e deixe ela/ele segurar por 30 segundos.
CI-1-013,Grupo,Contato Íntimo,1,Desafio,Dupla,Sente de lado no colo de [JOGADOR] com o braço no pescoço dela/dele por 30 segundos.
CI-1-014,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique de pé colado/a em [JOGADOR] pelas costas com as mãos na cintura dela/dele por 15 segundos.
CI-1-015,Grupo,Contato Íntimo,1,Desafio,Dupla,Encoste o nariz no pescoço de [JOGADOR] e inspire devagar por 10 segundos.
CI-1-016,Grupo,Contato Íntimo,1,Desafio,Dupla,Deite do lado de [JOGADOR] com o braço por baixo da cabeça dela/dele por 1 minuto.
CI-1-017,Grupo,Contato Íntimo,1,Desafio,Dupla,Puxe [JOGADOR] pra sentar entre as suas pernas e fique com os braços em volta dela/dele por 30 segundos.
CI-1-018,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique de frente pra [JOGADOR] e encoste o joelho no joelho dela/dele por toda a próxima rodada.
CI-1-019,Grupo,Contato Íntimo,1,Desafio,Dupla,Coloque a mão na nuca de [JOGADOR] e fique assim com o rosto próximo ao dela/dele por 15 segundos.
CI-1-020,Grupo,Contato Íntimo,1,Desafio,Dupla,Sente de frente pra [JOGADOR] com as pernas por cima das dela/dele e fique assim por 30 segundos.
CI-1-021,Grupo,Contato Íntimo,1,Desafio,Dupla,Deite com a cabeça no peito de [JOGADOR] e ouça o coração dela/dele por 30 segundos em silêncio.
CI-1-022,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique de costas completamente encostado/a em [JOGADOR] por 1 rodada inteira.
CI-1-023,Grupo,Contato Íntimo,1,Desafio,Dupla,Encoste o rosto no ombro de [JOGADOR] e coloque a mão na cintura dela/dele por 20 segundos.
CI-1-024,Grupo,Contato Íntimo,1,Desafio,Dupla,Puxe [JOGADOR] pra sentar no seu colo de lado e coloque o braço na cintura dela/dele por 30 segundos.
CI-1-025,Grupo,Contato Íntimo,1,Desafio,Dupla,Fique de frente pra [JOGADOR] bem próximo/a — sem se tocar — por 20 segundos e veja quem pisca primeiro.
